"영업월","역사","승하차 구분","00시 통행량","01시 통행량","02시 통행량","03시 통행량","04시 통행량","05시 통행량","06시 통행량","07시 통행량","08시 통행량","09시 통행량","10시 통행량","11시 통행량","12시 통행량","13시 통행량","14시 통행량","15시 통행량","16시 통행량","17시 통행량","18시 통행량","19시 통행량","20시 통행량","21시 통행량","22시 통행량","23시 통행량"
"2024-11","대동역","하차","532","0","0","0","27","585","1009","4594","10110","5847","4257","4074","4959","4908","5254","6249","7507","8941","12843","6437","5087","5702","5259","3746"
"2024-11","대전역","승차","97","0","0","0","2","746","3805","12220","19364","18064","18928","20561","20816","20923","24090","28193","28336","29627","28626","22065","17687","17285","12592","7016"
"2024-11","대전역","하차","145","0","1","0","1","4136","11106","21234","27670","22565","21563","24570","20726","23125","23032","23715","25889","24530","25092","14033","11323","8064","3759","1634"
"2024-11","반석역","승차","13","0","0","0","3","1898","5248","20252","28783","16200","11210","10124","10484","10946","9244","10901","12442","16058","20569","9578","7131","6624","5658","2779"
"2024-11","반석역","하차","941","1","0","0","0","1066","4433","9603","15372","7829","5652","6987","8007","9258","9586","11584","15682","21457","27774","11844","10280","10602","9567","4459"
"2024-11","서대전네거리역","승차","13","0","0","0","80","2729","4128","10723","20698","9951","8569","9327","9442","10238","9121","10359","11266","12263","14549","7040","5145","4646","3465","2122"
"2024-11","서대전네거리역","하차","349","0","0","0","23","1086","2315","5362","15825","8693","7369","8200","8596","9574","9166","10475","13072","16124","22952","10733","7503","7353","6185","3541"
"2024-11","시청역","승차","35","1","0","0","20","1052","2617","6072","10629","7387","7929","9588","10117","10638","11050","12878","15725","22793","32995","12294","12061","12187","11145","5067"
"2024-11","시청역","하차","368","2","0","0","13","1377","3418","11159","40093","18101","11240","10037","10056","11677","11833","12737","15306","17007","20837","10014","6310","5717","4061","2690"
"2024-11","신흥역","승차","4","0","0","0","6","1510","2163","6557","9333","4373","2749","2474","2793","2731","2057","2086","2584","2833","2835","1271","1017","561","563","178"
"2024-11","신흥역","하차","180","0","0","0","0","248","757","1346","2204","1317","1634","1633","2208","2000","2454","3143","4010","4468","7131","3764","2518","2710","2394","1286"
"2024-11","오룡역","승차","2","0","0","0","24","2013","2984","9302","19274","7984","5283","6263","6402","6316","5560","5781","8080","8900","15107","4772","2707","2304","1402","759"
"2024-11","오룡역","하차","48","0","0","0","22","436","1509","4141","14007","6426","4141","4370","4554","4996","5105","6391","7450","8981","13990","5894","4600","4337","3650","2508"
"2024-11","용문역","승차","1","0","0","0","22","3220","4823","11736","25020","10903","10141","11182","11477","12841","12600","11536","13111","14258","12735","7064","6436","7793","3673","2883"
"2024-11","용문역","하차","6","0","0","0","20","682","2751","5407","15546","11753","9828","11291","9916","10746","10682","12472","13833","16178","26382","13183","8075","7873","5623","3554"
"2024-11","월드컵경기장역","승차","19","0","0","0","2","686","1906","5917","11411","5230","4313","4136","3821","4362","4136","5001","7031","6355","6800","3016","2189","2218","1122","325"
"2024-11","월드컵경기장역","하차","403","0","0","0","0","358","1128","4175","6000","3486","3099","3286","3635","4393","3550","3971","5058","5885","8443","4091","3165","3486","2753","1647"
"2024-11","월평역","승차","60","0","0","0","6","1809","2982","6418","13323","6556","5161","5258","5751","5963","5659","6380","6958","7999","9213","4569","3467","3477","2403","1129"
"2024-11","월평역","하차","376","0","0","0","11","436","889","2356","7436","5375","4457","4900","5451","5584","5963","7130","7702","9352","13170","6780","5298","5634","4629","3168"
"2024-11","유성온천역","승차","157","1","0","0","7","3045","6531","16963","33179","15673","13089","13617","15540","16145","16227","18982","21626","22939","22986","12766","11467","10339","6845","4342"
"2024-11","유성온천역","하차","753","1","0","0","3","2003","3848","8402","20410","16107","13492","14621","14815","15170","16466","17371","20630","26304","39265","18256","13198","13752","11593","7053"
"2024-11","정부청사역","승차","7","0","0","0","10","945","1992","5478","9722","6838","6644","7886","8412","9046","10374","13108","16889","24510","38853","11382","9100","7379","4945","1838"
"2024-11","정부청사역","하차","478","0","0","0","6","2075","4601","13035","51145","17842","10110","9543","10414","10531","9984","9876","10473","11948","13463","7264","5046","5269","3391","1695"
"2024-11","중구청역","승차","24","0","0","0","27","610","1349","3360","6228","3117","2775","3346","3401","3515","3785","4485","5838","6178","8532","2547","2261","1927","1220","500"
"2024-11","중구청역","하차","129","0","0","0","28","428","1228","4426","12009","5403","3156","3061","3261","4117","3351","3344","3571","4370","6014","2612","2030","1937","1625","1031"
"2024-11","중앙로역","승차","74","0","0","0","16","701","1275","3483","6866","4122","4112","5869","7617","9581","11224","13323","15523","17934","21066","12151","12181","11329","6343","3799"
"2024-11","중앙로역","하차","188","0","0","0","16","707","1459","3775","15709","9981","9708","13592","14542","14329","14323","14101","15021","17037","20449","10102","5276","3580","2359","1383"
"2024-11","지족역","승차","30","1","0","0","2","837","1514","4200","6174","3800","2842","3103","3541","3372","3344","4040","4254","5812","11326","2781","1999","1831","1196","635"
"2024-11","지족역","하차","323","0","0","0","0","318","960","2857","13650","4233","2315","2267","2856","2738","2708","3112","3843","4628","5537","3116","2425","2672","2345","1509"
"2024-11","탄방역","승차","3","0","0","0","1","1302","2842","6105","11746","6101","5600","7108","6469","6878","6936","8073","8248","11875","17690","5620","4557","5009","4411","1249"
"2024-11","탄방역","하차","6","0","0","0","0","1199","2243","6070","24967","10393","6534","6046","6249","7702","6980","7026","7956","9693","15184","6715","4335","3950","2838","2146"
"2024-11","판암역","승차","14","0","0","0","61","2619","4715","12174","16861","9218","6927","6731","7547","7418","6528","6652","7222","8036","8381","3377","2414","1662","1198","513"
"2024-11","판암역","하차","880","0","0","0","21","360","1468","3585","7277","3869","4199","4479","5057","5648","6076","8036","9822","10050","13663","6567","5110","5724","4652","2108"
"2024-11","현충원역","승차","10","0","0","0","0","422","915","3331","7191","3403","3233","3694","4756","5124","4945","5871","8299","7797","6690","2826","1840","1761","845","147"
"2024-11","현충원역","하차","133","0","0","0","1","158","1031","3028","6269","7139","3727","3922","3464","4321","2630","2882","3158","3772","4837","2239","2195","2100","1969","869"
"2024-12","갈마역","승차","38","0","0","0","1","1792","2841","6609","11838","6547","5100","5125","4965","5118","4724","4745","5943","6400","5484","3099","2544","2478","1354","925"
"2024-12","갈마역","하차","408","0","0","0","0","504","877","1872","3532","2794","2956","3756","5082","4856","5336","6023","7267","8554","11121","6389","4825","5100","4175","2972"
"2024-12","갑천역","승차","8","0","0","0","3","347","798","2136","4671","2083","1570","1334","1561","1668","1614","1690","1785","2396","2545","1080","814","754","384","220"
